"Iteracja","Best Result","Worst Result","Average Cost"
"1","6830.272","7242.631","7139.8932421875"
"2","6830.272","7194.2046","7055.7257080078125"
"3","6672.69","7220.323","6960.203325195313"
"4","6491.0713","7194.3833","6886.165615234375"
"5","6447.5674","7095.925","6808.998125"
"6","6378.105","6993.1875","6679.794619140625"
"7","6335.9985","6666.9663","6515.870283203125"
"8","6326.2114","6601.287","6438.510610351563"
"9","6285.4004","6457.8784","6378.182880859375"
"10","6221.5396","6452.305","6329.341728515625"
"11","6163.2007","6447.6","6299.505302734375"
"12","6159.772","6416.887","6263.689033203125"
"13","6092.8945","6345.748","6213.9967041015625"
"14","6087.557","6439.9214","6156.39603515625"
"15","6079.475","6210.034","6111.96607421875"
"16","6079.475","6226.411","6096.642397460938"
"17","6079.475","6093.865","6087.326318359375"
"18","6079.475","6299.719","6082.949975585938"
"19","6079.475","6213.3657","6081.48521484375"
"20","6079.475","6269.7505","6082.349165039062"
"21","6079.475","6200.3228","6086.129140625"
"22","6079.475","6227.9717","6082.4292822265625"
"23","6079.475","6271.0186","6081.390532226563"
"24","6079.475","6329.0522","6083.32576171875"
"25","6079.475","6079.475","6079.47509765625"
"26","6079.475","6234.954","6085.330541992187"
"27","6079.475","6148.2144","6080.289140625"
"28","6079.475","6170.765","6080.83994140625"
"29","6079.475","6307.5854","6083.62421875"
"30","6079.475","6241.5933","6081.096279296875"
"31","6079.475","6364.5513","6091.485649414062"
"32","6072.0166","6120.733","6080.304975585937"
"33","6072.0166","6103.1357","6079.423237304687"
"34","6068.778","6307.269","6087.084501953125"
"35","6056.0547","6296.5938","6080.416948242188"
"36","6042.6113","6256.3506","6077.151669921875"
"37","6034.79","6081.0474","6062.423979492188"
"38","6019.191","6218.9688","6051.33349609375"
"39","6012.288","6249.383","6039.196733398438"
"40","6012.288","6363.247","6024.11068359375"
"41","6001.7983","6254.598","6025.1757421875"
"42","6001.7983","6225.0024","6018.763056640625"
"43","6001.7983","6189.421","6014.826508789062"
"44","6001.7983","6185.3096","6015.226489257812"
"45","5998.165","6129.3086","6012.901572265625"
"46","5998.165","6187.02","6012.920419921875"
"47","5998.165","6367.4287","6011.2308740234375"
"48","5998.165","6305.6494","6007.88810546875"
"49","5981.52","6215.936","6000.176298828125"
"50","5981.52","6339.138","6013.81310546875"
"51","5991.5757","6044.4243","6001.867221679688"
"52","5991.5757","6260.387","6005.994184570312"
"53","5991.5757","6157.0493","5997.6640625"
"54","5991.5757","6058.9336","5993.07376953125"
"55","5991.5757","6316.553","5997.336484375"
"56","5979.5396","6178.6504","5994.269340820312"
"57","5979.5396","5991.5757","5991.455322265625"
"58","5979.5396","6422.9497","6001.724541015625"
"59","5979.5396","5991.5757","5991.455322265625"
"60","5979.5396","6178.8403","5995.3086767578125"
"61","5979.5396","6189.562","5995.354438476563"
"62","5954.765","5995.4126","5985.14541015625"
"63","5953.5835","6133.4917","5984.674135742188"
"64","5949.384","6101.2095","5980.6763916015625"
"65","5949.384","6051.5845","5971.389790039062"
"66","5949.384","6172.6094","5969.0677490234375"
"67","5949.384","6272.3745","5959.35591796875"
"68","5946.7334","6202.9453","5957.538046875"
"69","5946.7334","6152.6626","5958.719208984375"
"70","5942.5337","6195.954","5953.784965820312"
"71","5904.5977","6196.2476","5952.22685546875"
"72","5904.5977","6259.187","5952.149965820313"
"73","5904.5977","6105.7593","5940.323139648437"
"74","5904.5977","5949.384","5928.730966796875"
"75","5904.5977","6039.236","5919.192309570312"
"76","5885.529","6035.2188","5913.6591796875"
"77","5866.61","6141.1484","5917.081879882812"
"78","5864.424","6319.9775","5900.4583740234375"
"79","5864.424","6083.5757","5873.184853515625"
"80","5864.424","6272.951","5875.791030273437"
"81","5859.4395","6235.764","5880.131689453125"
"82","5859.4395","5951.3726","5865.243471679688"
"83","5859.4395","5971.1963","5865.863916015625"
"84","5859.4395","6203.8804","5870.705615234375"
"85","5859.4395","5864.424","5864.373984375"
"86","5859.4395","6300.8843","5872.417099609375"
"87","5853.5474","6097.5435","5866.1848828125"
"88","5853.5474","6183.0317","5866.845590820312"
"89","5853.5474","6228.0913","5861.248740234375"
"90","5853.5474","6191.244","5863.350380859375"
"91","5848.2134","5986.4707","5856.5934375"
"92","5848.2134","5861.0615","5853.292729492187"
"93","5840.699","6028.976","5852.11099609375"
"94","5840.699","5951.962","5848.481762695313"
"95","5840.699","5848.2134","5841.751201171875"
"96","5840.699","6199.8936","5855.999111328125"
"97","5840.699","5852.683","5840.819057617187"
"98","5840.699","5840.699","5840.69921875"
"99","5840.699","6069.712","5844.598779296875"
"100","5840.699","6218.063","5845.949926757812"
"101","5831.8403","5869.825","5844.10115234375"
"102","5831.8403","6340.244","5849.537885742187"
"103","5831.8403","6035.834","5843.650166015625"
"104","5831.8403","6275.695","5847.67224609375"
"105","5831.3394","5974.539","5839.817885742187"
"106","5831.3394","6127.284","5838.654975585938"
"107","5831.3394","6033.867","5834.080717773438"
"108","5831.3394","6249.4126","5845.334858398437"
"109","5829.493","6114.3643","5836.5581884765625"
"110","5829.493","5998.135","5835.517299804687"
"111","5829.493","6106.133","5841.2260546875"
"112","5829.493","5831.3394","5831.080888671875"
"113","5829.493","6225.763","5838.740219726563"
"114","5829.493","6358.719","5834.785424804688"
"115","5829.493","6215.5317","5836.568515625"
"116","5829.493","6212.716","5833.325390625"
"117","5829.493","6196.9644","5845.164736328125"
"118","5829.493","6070.7866","5833.919072265625"
"119","5829.493","5909.302","5830.29125"
"120","5829.493","6241.5737","5841.467890625"
"121","5829.493","5869.8374","5835.709189453125"
"122","5829.493","5829.493","5829.4931640625"
"123","5829.493","6049.9097","5833.75697265625"
"124","5829.493","6124.16","5832.439833984375"
"125","5829.493","6199.4697","5841.067724609375"
"126","5829.493","5950.757","5830.70580078125"
"127","5829.493","6217.997","5843.917661132812"
"128","5829.493","6022.135","5832.714365234375"
"129","5829.493","6316.83","5842.0082177734375"
"130","5829.493","6293.8667","5839.730922851562"
"131","5828.688","6291.117","5844.6357421875"
"132","5828.688","6425.58","5843.519765625"
"133","5824.0913","5976.566","5830.745532226562"
"134","5824.0913","6341.3354","5848.424223632813"
"135","5824.0913","6154.75","5834.039453125"
"136","5816.1777","6025.7544","5827.396752929688"
"137","5805.6357","6214.722","5830.254306640625"
"138","5796.3","5984.7285","5824.357963867187"
"139","5795.451","5977.556","5813.193833007813"
"140","5776.6353","6039.026","5806.420893554688"
"141","5783.378","6160.5596","5803.059462890625"
"142","5783.378","5804.4126","5791.171103515625"
"143","5783.378","6022.508","5785.769228515625"
"144","5783.378","6323.5913","5790.9751806640625"
"145","5783.378","5928.938","5784.833530273438"
"146","5783.378","6071.0337","5791.47041015625"
"147","5783.378","6113.249","5790.140737304688"
"148","5783.378","6165.017","5790.001645507812"
"149","5783.378","5868.071","5784.224858398437"
"150","5783.378","5982.646","5787.130498046875"
"151","5779.0996","6272.765","5797.874580078125"
"152","5779.0996","6245.4854","5796.341733398437"
"153","5779.0996","5783.378","5783.335146484375"
"154","5776.9326","6253.39","5791.683559570312"
"155","5776.9326","6249.8047","5786.5834765625"
"156","5776.9326","5779.0996","5777.84275390625"
"157","5776.9326","6186.2065","5785.282573242188"
"158","5776.9326","5994.8276","5779.111567382813"
"159","5776.9326","6134.3057","5790.226362304687"
"160","5776.9326","6105.9355","5782.638286132813"
"161","5776.9326","5805.045","5778.591909179688"
"162","5776.9326","5776.9326","5776.9326171875"
"163","5776.9326","6112.1406","5780.284697265625"
"164","5776.9326","6067.538","5784.56107421875"
"165","5776.9326","6166.3296","5787.4385546875"
"166","5776.9326","6275.037","5783.5844921875"
"167","5776.9326","5918.402","5778.347309570312"
"168","5776.9326","6027.3916","5784.454858398438"
"169","5776.9326","6149.542","5792.055932617188"
"170","5776.9326","5812.549","5777.560458984375"
"171","5774.8296","6055.724","5785.274931640625"
"172","5766.7715","6173.3687","5787.328754882812"
"173","5766.7715","5999.332","5778.444428710937"
"174","5766.7715","6129.3965","5777.327646484375"
"175","5766.7715","5923.708","5769.83451171875"
"176","5766.7715","6129.3965","5772.377739257812"
"177","5766.7715","5766.7715","5766.771484375"
"178","5766.7715","6164.7","5776.14640625"
"179","5766.7715","5800.1436","5767.105205078125"
"180","5766.7715","6021.0527","5773.984599609375"
"181","5766.7715","6056.383","5772.242749023438"
"182","5766.7715","6123.5776","5776.9078759765625"
"183","5766.7715","6081.227","5777.7795703125"
"184","5766.7715","6037.691","5771.384653320312"
"185","5766.7715","6229.1196","5778.769106445313"
"186","5766.7715","6082.3096","5772.34580078125"
"187","5766.7715","5941.1973","5768.980146484375"
"188","5766.7715","5842.158","5767.5253515625"
"189","5766.7715","5953.1284","5768.635053710937"
"190","5766.7715","5766.7715","5766.771484375"
"191","5764.465","6204.648","5786.740825195313"
"192","5764.465","6281.763","5774.08013671875"
"193","5764.465","5886.6895","5767.80919921875"
"194","5761.0693","6327.7524","5773.245571289062"
"195","5761.0693","6036.071","5768.099560546875"
"196","5754.584","5829.775","5763.700219726563"
"197","5754.584","6042.5225","5769.396767578125"
"198","5741.817","6177.6333","5773.032768554687"
"199","5732.8647","5873.5293","5760.404428710937"
"200","5732.8647","5801.25","5756.9790869140625"
"201","5725.3774","5956.364","5750.927319335938"
"202","5725.3774","5905.6997","5741.245219726563"
"203","5725.3774","6135.9883","5739.197548828125"
"204","5725.3774","6096.368","5740.138325195312"
"205","5725.3774","5924.3003","5735.528178710938"
"206","5725.3774","6174.449","5735.47041015625"
"207","5725.3774","6093.9795","5738.35427734375"
"208","5725.3774","6180.2026","5754.82708984375"
"209","5725.3774","6061.592","5731.181752929688"
"210","5725.3774","5789.443","5726.331938476563"
"211","5725.323","6100.0747","5737.7563671875"
"212","5721.6045","5967.136","5732.662202148437"
"213","5721.6045","6180.7437","5731.948676757813"
"214","5719.197","6238.8716","5736.826791992187"
"215","5719.197","6137.833","5734.6509619140625"
"216","5719.197","6100.883","5726.262758789063"
"217","5719.197","5786.0566","5721.898999023438"
"218","5715.949","6162.1714","5732.538100585937"
"219","5715.949","5808.1284","5720.23857421875"
"220","5715.949","6175.203","5730.94548828125"
"221","5715.949","6186.1763","5729.6964453125"
"222","5715.949","5974.285","5718.688349609375"
"223","5715.949","6074.0537","5723.620161132812"
"224","5715.949","5715.949","5715.94921875"
"225","5715.949","5715.949","5715.94921875"
"226","5715.949","5934.906","5718.430380859375"
"227","5715.949","5835.575","5719.1931982421875"
"228","5715.949","6216.04","5731.44482421875"
"229","5715.949","6080.6006","5719.906020507812"
"230","5715.949","6238.8857","5732.035322265625"
"231","5714.573","5825.126","5720.218349609375"
"232","5714.573","6116.25","5728.422978515625"
"233","5714.573","5880.767","5720.644428710937"
"234","5714.573","5958.9707","5720.5865869140625"
"235","5711.8433","6188.2227","5727.030893554687"
"236","5711.8433","5973.364","5722.513715820312"
"237","5711.8433","6033.828","5718.705180664063"
"238","5711.8433","6022.118","5721.994897460938"
"239","5711.8433","6162.15","5721.536333007813"
"240","5711.8433","5845.0015","5713.17484375"
"241","5711.8433","5737.0796","5714.665395507813"
"242","5711.8433","5929.2593","5716.4916015625"
"243","5711.8433","6048.02","5720.504931640625"
"244","5711.8433","5912.896","5717.75595703125"
"245","5711.8433","6134.49","5724.736650390625"
"246","5711.8433","6215.2393","5727.070122070312"
"247","5711.8433","6238.0977","5717.105805664062"
"248","5711.8433","6169.2065","5720.11146484375"
"249","5711.8433","6116.4966","5715.889794921875"
"250","5711.8433","6213.187","5720.10826171875"
"251","5708.4014","6157.035","5719.2603125"
"252","5708.4014","5711.8433","5711.602329101563"
"253","5708.3516","6273.6187","5721.89052734375"
"254","5708.3516","6223.779","5721.322421875"
"255","5708.3516","5887.743","5711.748803710938"
"256","5708.3516","6111.067","5712.378715820312"
"257","5708.3516","5964.535","5712.655224609375"
"258","5708.3516","5988.67","5711.780942382812"
"259","5702.9683","6021.059","5712.8931494140625"
"260","5702.9683","6235.0986","5740.357133789063"
"261","5702.9683","5822.79","5709.920673828125"
"262","5702.9683","5969.6675","5707.465576171875"
"263","5702.9683","6128.0566","5709.6450390625"
"264","5702.9683","5921.1226","5708.053168945313"
"265","5702.9683","5964.3086","5707.090688476563"
"266","5702.9683","6135.469","5707.293271484375"
"267","5700.173","5702.9683","5702.9403076171875"
"268","5700.173","6098.7476","5709.150224609375"
"269","5700.173","5824.685","5705.479291992187"
"270","5700.173","5918.528","5705.095903320313"
"271","5700.173","5822.058","5709.0627734375"
"272","5700.173","6012.338","5706.79541015625"
"273","5700.173","6017.158","5706.540258789062"
"274","5700.173","5934.48","5702.878173828125"
"275","5700.173","5986.1206","5703.684658203125"
"276","5700.173","5700.173","5700.1728515625"
"277","5700.173","5700.173","5700.1728515625"
"278","5700.173","5898.8286","5702.159409179688"
"279","5700.173","6408.0156","5712.9612890625"
"280","5700.173","6075.3726","5708.035141601563"
"281","5691.2017","5925.9233","5705.346020507813"
"282","5691.2017","6179.829","5708.832734375"
"283","5691.2017","6338.3413","5710.128041992188"
"284","5686.8286","6057.943","5701.227353515625"
"285","5686.8286","5998.6226","5709.167451171875"
"286","5686.8286","5966.4004","5698.879086914062"
"287","5686.8286","6072.568","5702.168168945313"
"288","5684.742","6063.8843","5692.221411132812"
"289","5684.742","5722.496","5687.322260742188"
"290","5684.742","6175.0513","5694.670180664062"
"291","5684.742","6063.593","5698.866889648438"
"292","5684.742","6172.451","5696.997470703125"
"293","5684.742","5725.6255","5685.151020507812"
"294","5684.742","6066.3545","5700.57201171875"
"295","5684.742","5965.7925","5694.510258789062"
"296","5684.742","6243.17","5700.061474609375"
"297","5684.742","5830.361","5686.198374023437"
"298","5684.742","5684.742","5684.7421875"
"299","5684.742","6027.1353","5691.438520507812"
"300","5684.742","5803.151","5686.347685546875"
"301","5684.742","6205.6035","5699.85375"
"302","5684.742","6360.3213","5693.444970703125"
"303","5684.742","6026.281","5695.220009765625"
"304","5684.742","5956.1753","5690.588349609375"
"305","5684.742","6036.436","5690.413994140625"
"306","5684.742","6179.4","5692.910712890625"
"307","5684.742","6234.604","5701.4901171875"
"308","5684.742","5684.742","5684.7421875"
"309","5684.742","5684.742","5684.7421875"
"310","5684.742","5684.742","5684.7421875"
"311","5684.742","5851.143","5688.46970703125"
"312","5684.742","6185.581","5694.651147460938"
"313","5684.742","6216.53","5695.5202734375"
"314","5684.742","6035.3706","5690.62482421875"
"315","5684.742","6118.411","5698.206733398438"
"316","5684.742","6081.1064","5694.165693359375"
"317","5684.742","5684.742","5684.7421875"
"318","5684.742","5945.6953","5689.514951171875"
"319","5684.742","6044.443","5688.377866210937"
"320","5684.742","6437.132","5697.236098632812"
"321","5684.742","5987.5493","5698.105068359375"
"322","5684.742","6270.185","5696.517729492188"
"323","5684.742","6082.3267","5688.718032226562"
"324","5684.742","5988.1787","5689.778701171875"
"325","5684.742","5960.8037","5694.361557617188"
"326","5684.742","5755.9023","5685.919672851563"
"327","5684.742","5957.688","5693.96615234375"
"328","5684.742","6000.0435","5698.425112304688"
"329","5684.742","6012.5684","5690.1789453125"
"330","5684.742","5858.963","5688.440087890625"
"331","5684.742","6119.7236","5700.83265625"
"332","5684.742","6244.679","5690.341557617187"
"333","5684.742","5836.0283","5686.255048828125"
"334","5684.742","5684.742","5684.7421875"
"335","5684.742","6200.336","5710.575537109375"
"336","5684.742","5944.345","5687.3382177734375"
"337","5684.742","6179.0474","5689.685239257812"
"338","5684.742","5684.742","5684.7421875"
"339","5684.742","5900.267","5687.447373046875"
"340","5684.742","6021.5474","5690.49560546875"
"341","5684.742","6101.247","5693.077548828125"
"342","5684.742","5921.427","5687.109033203125"
"343","5684.742","5947.578","5688.903701171875"
"344","5684.742","5880.801","5688.588369140625"
"345","5684.742","6102.8438","5689.41892578125"
"346","5684.742","5861.524","5688.162465820313"
"347","5684.742","6135.1426","5696.097416992187"
"348","5684.742","5982.5156","5688.935205078125"
"349","5684.742","5967.1675","5687.566440429688"
"350","5684.742","5937.262","5693.704560546875"
"351","5684.742","5996.9507","5691.857817382813"
"352","5684.742","6243.136","5691.9844580078125"
"353","5684.742","6014.1006","5690.69212890625"
"354","5684.742","5973.982","5693.193862304687"
"355","5684.742","5819.183","5687.07849609375"
"356","5684.742","6240.2866","5698.189951171875"
"357","5684.742","5838.9834","5686.715478515625"
"358","5678.08","6074.823","5693.380327148438"
"359","5678.08","6161.8345","5698.508266601562"
"360","5678.08","5684.742","5681.21126953125"
"361","5678.08","6076.293","5687.743198242188"
"362","5678.08","5906.657","5680.617934570312"
"363","5678.08","6274.583","5703.387680664063"
"364","5678.08","5738.034","5678.679619140625"
"365","5678.08","5922.4863","5680.658549804688"
"366","5678.08","6172.609","5688.3255859375"
"367","5678.08","5943.8965","5682.369418945313"
"368","5678.08","6037.292","5690.068349609375"
"369","5678.08","5742.135","5678.720625"
"370","5678.08","6114.2314","5691.962709960938"
"371","5678.08","5966.414","5686.55759765625"
"372","5678.08","6051.6294","5686.792548828125"
"373","5678.08","6059.4976","5688.6170703125"
"374","5678.08","6079.3076","5695.821499023437"
"375","5678.08","5954.778","5682.90302734375"
"376","5678.08","5730.151","5678.600786132813"
"377","5678.08","5947.0654","5683.543583984375"
"378","5678.08","5959.1455","5683.872221679688"
"379","5678.08","5678.08","5678.080078125"
"380","5678.08","6113.6387","5693.621484375"
"381","5678.08","6288.129","5692.40634765625"
"382","5678.08","5867.7227","5680.895805664062"
"383","5678.08","5829.13","5679.590576171875"
"384","5678.08","5898.1943","5680.281220703125"
"385","5678.08","6109.514","5685.24595703125"
"386","5678.08","6150.135","5687.219174804687"
"387","5678.08","6189.121","5693.000922851563"
"388","5678.08","5818.6772","5681.0596923828125"
"389","5678.08","5771.6553","5679.015830078125"
"390","5678.08","6306.254","5687.752866210937"
"391","5678.08","6244.4155","5691.856826171875"
"392","5678.08","6088.16","5686.511372070312"
"393","5678.08","5954.421","5686.59919921875"
"394","5678.08","5708.1206","5678.380483398438"
"395","5678.08","5678.08","5678.080078125"
"396","5678.08","5951.33","5684.336079101562"
"397","5678.08","6254.3145","5686.572124023438"
"398","5678.08","5756.859","5678.867866210938"
"399","5678.08","5942.7554","5680.726831054688"
"400","5678.08","6283.122","5699.9935546875"
"401","5678.08","6290.237","5699.1884765625"
"402","5678.08","5964.6484","5682.69396484375"
"403","5678.08","5989.0117","5681.70818359375"
"404","5678.08","5996.8335","5681.267612304688"
"405","5674.2676","6165.3667","5693.020068359375"
"406","5674.2676","6146.579","5688.8719091796875"
"407","5674.2676","6124.463","5689.4044580078125"
"408","5674.2676","5966.038","5677.719033203125"
"409","5674.2676","5928.779","5677.356665039062"
"410","5674.2676","5931.8394","5680.671279296875"
"411","5674.2676","5703.0195","5679.68353515625"
"412","5674.2676","6041.2744","5684.359033203125"
"413","5674.2676","5705.429","5674.579194335937"
"414","5674.2676","5674.2676","5674.267578125"
"415","5674.2676","5866.7617","5676.19251953125"
"416","5674.2676","6023.5615","5681.672177734375"
"417","5674.2676","6028.017","5677.805073242187"
"418","5674.2676","5952.2065","5679.7288818359375"
"419","5674.2676","6075.474","5679.921284179687"
"420","5674.2676","6219.5273","5681.795122070313"
"421","5674.2676","6143.9067","5684.45380859375"
"422","5674.2676","6169.791","5687.817319335937"
"423","5674.2676","5922.95","5678.009165039062"
"424","5674.2676","6179.351","5693.2506103515625"
"425","5674.2676","6010.8003","5680.318061523438"
"426","5674.2676","6228.307","5679.807973632813"
"427","5674.2676","5972.5176","5682.991962890625"
"428","5674.2676","5757.099","5675.095893554688"
"429","5674.2676","5911.676","5680.778959960938"
"430","5674.2676","5881.309","5677.458583984375"
"431","5674.2676","5698.9536","5678.72052734375"
"432","5674.2676","5944.5894","5679.209853515625"
"433","5674.2676","5908.326","5676.6081640625"
"434","5674.2676","6147.9385","5698.2671728515625"
"435","5674.2676","5990.079","5681.45587890625"
"436","5674.2676","6016.7705","5683.583681640625"
"437","5674.2676","5886.415","5677.199931640625"
"438","5674.2676","6053.511","5681.92333984375"
"439","5674.2676","5831.8926","5675.843828125"
"440","5674.2676","5946.619","5678.434428710938"
"441","5674.2676","6193.5396","5696.2969921875"
"442","5674.2676","5944.755","5676.972451171875"
"443","5674.2676","5813.4346","5676.7906640625"
"444","5674.2676","6383.3506","5681.358408203125"
"445","5674.2676","5674.2676","5674.267578125"
"446","5674.2676","6042.5815","5681.2732763671875"
"447","5674.2676","6129.316","5681.638227539062"
"448","5674.2676","5848.231","5677.0457421875"
"449","5674.2676","6107.515","5679.847153320313"
"450","5674.2676","5809.591","5675.620810546875"
"451","5674.2676","6245.6255","5684.3582763671875"
"452","5674.2676","6176.266","5684.525703125"
"453","5674.2676","5799.497","5677.43966796875"
"454","5674.2676","5892.2485","5678.47744140625"
"455","5674.2676","6150.0923","5682.377734375"
"456","5674.2676","6052.419","5685.390131835938"
"457","5674.2676","6269.9556","5688.148295898438"
"458","5674.2676","6171.7036","5685.973095703125"
"459","5674.2676","6031.3813","5677.838715820312"
"460","5674.2676","5886.8687","5676.393588867188"
"461","5674.2676","5951.174","5686.063291015625"
"462","5674.2676","5813.4614","5676.255908203125"
"463","5674.2676","6029.271","5684.6768798828125"
"464","5674.2676","6043.051","5678.1953125"
"465","5674.2676","6052.0054","5680.325126953125"
"466","5674.2676","6033.561","5680.172177734375"
"467","5674.2676","6013.9316","5681.608833007813"
"468","5674.2676","5934.217","5676.8670703125"
"469","5674.2676","5898.3164","5676.50806640625"
"470","5674.2676","5886.2397","5678.908862304687"
"471","5674.2676","6127.2407","5695.113110351563"
"472","5674.2676","6172.882","5684.172529296875"
"473","5674.2676","6185.5825","5686.375126953125"
"474","5674.2676","5932.7603","5681.05318359375"
"475","5670.1455","5946.73","5679.070571289062"
"476","5670.1455","5674.2676","5674.226357421875"
"477","5670.1455","6043.6562","5680.960805664063"
"478","5670.1455","6058.224","5683.442045898438"
"479","5670.1455","6058.5894","5677.53669921875"
"480","5670.1455","5979.7803","5678.308330078125"
"481","5669.472","6298.616","5686.036577148438"
"482","5667.987","6227.7134","5676.230122070312"
"483","5667.987","5948.7104","5675.023251953125"
"484","5667.987","6202.617","5678.037563476562"
"485","5667.987","5836.4375","5669.8644189453125"
"486","5667.987","5758.8228","5668.89517578125"
"487","5667.987","5787.7886","5670.083110351563"
"488","5667.987","6291.7285","5682.3815087890625"
"489","5667.987","6157.751","5675.8389501953125"
"490","5667.987","6240.677","5673.713715820312"
"491","5667.987","5999.7197","5676.476142578125"
"492","5667.987","6071.2515","5674.246567382813"
"493","5667.987","5906.452","5676.049541015625"
"494","5667.987","6193.272","5682.868540039062"
"495","5667.987","5805.745","5670.698505859375"
"496","5667.987","6004.6973","5671.465024414062"
"497","5667.987","6162.632","5675.563046875"
"498","5667.987","5934.9136","5670.656083984375"
"499","5667.987","5802.296","5669.926298828125"
"500","5667.987","6099.2725","5675.208813476563"
"501","5667.987","6047.5737","5677.386630859375"
"502","5667.987","6055.314","5679.344501953125"
"503","5667.987","6158.426","5674.455913085938"
"504","5667.987","6159.713","5676.1136865234375"
"505","5667.987","6196.3945","5683.608247070312"
"506","5667.987","6392.6396","5682.758173828125"
"507","5667.987","6013.323","5676.125727539063"
"508","5667.987","6258.114","5693.1302734375"
"509","5667.987","6144.873","5680.083642578125"
"510","5667.987","6045.439","5675.608676757813"
"511","5667.987","5980.8745","5679.1677734375"
"512","5667.987","5924.466","5670.551606445312"
"513","5667.987","5907.285","5670.9500732421875"
"514","5667.987","6124.316","5683.344204101562"
"515","5667.987","6180.828","5673.863706054687"
"516","5667.987","6113.1377","5684.839702148438"
"517","5667.987","5785.107","5669.158017578125"
"518","5667.987","6043.667","5674.649633789062"
"519","5667.987","6094.67","5675.150493164063"
"520","5667.987","5891.5044","5676.174052734375"
"521","5667.987","6125.033","5674.55404296875"
"522","5667.987","5864.3594","5669.950541992188"
"523","5667.987","6080.398","5677.447841796875"
"524","5667.987","5927.718","5672.190991210938"
"525","5667.987","5954.6294","5679.43869140625"
"526","5667.987","6001.8594","5676.1804296875"
"527","5667.987","6034.0674","5673.271713867188"
"528","5667.987","5667.987","5667.98681640625"
"529","5667.987","6108.8594","5676.931806640625"
"530","5667.987","6152.207","5680.414814453125"
"531","5667.987","5833.016","5673.90642578125"
"532","5667.987","5910.6606","5670.4135546875"
"533","5667.987","5906.731","5670.3742578125"
"534","5667.987","5836.4663","5669.671611328125"
"535","5667.987","5735.0815","5668.980004882813"
"536","5656.476","5906.9517","5670.288793945312"
"537","5656.476","5916.78","5673.57220703125"
"538","5656.476","6220.749","5674.57779296875"
"539","5656.476","6156.7144","5670.596215820313"
"540","5656.476","5667.987","5663.291684570312"
"541","5656.476","6082.43","5673.118901367187"
"542","5656.476","6093.0366","5666.181713867188"
"543","5656.476","6145.3345","5662.309301757812"
"544","5656.476","6075.8584","5660.669897460937"
