"Iteracja","Best Result","Worst Result","Average Cost"
"1","5575.0425","5971.258","5584.216728515625"
"2","5715.4814","5989.4478","5723.2384033203125"
"3","5637.1743","5894.4346","5641.006962890625"
"4","5707.403","6169.484","5732.632797851563"
"5","5670.658","6022.161","5680.874091796875"
"6","5693.89","6189.934","5703.20279296875"
"7","5709.1055","6021.674","5717.818569335937"
"8","5604.624","5604.624","5604.6240234375"
"9","5633.8193","5828.1514","5636.81548828125"
"10","5707.1226","5782.305","5708.441694335937"
