"Iteracja","Best Result","Worst Result","Average Cost"
"1","4159.607","4476.1323","4323.694192165799"
"2","4159.607","4426.686","4285.287095811632"
"3","4114.5586","4394.42","4249.388850911459"
"4","4086.336","4371.124","4224.388949924045"
"5","4083.5144","4319.5312","4195.988291422526"
"6","4067.7903","4301.549","4166.977888997396"
"7","4038.236","4258.4873","4139.930673556858"
"8","4021.0881","4235.2354","4117.482265896268"
"9","3991.0364","4242.683","4097.797570800782"
"10","3990.7278","4198.687","4078.771359592014"
"11","3960.4624","4183.4375","4055.012915717231"
"12","3943.7107","4125.485","4022.465369330512"
"13","3919.6963","4119.128","3996.5987114800346"
"14","3898.9827","4043.501","3970.1565144856772"
"15","3876.4358","4027.2744","3951.5231770833334"
"16","3867.713","3999.8982","3929.897559950087"
"17","3844.174","4018.4976","3914.9825073242187"
"18","3844.174","3987.6042","3900.951543511285"
"19","3822.5984","3954.337","3883.161958143446"
"20","3818.9697","3937.0815","3868.7710374620224"
"21","3802.6033","3906.1096","3856.5998847113715"
"22","3794.6526","3891.9531","3845.872198486328"
"23","3794.6526","3895.7434","3839.126721869575"
"24","3783.185","3873.7532","3824.199456108941"
"25","3780.5398","3854.7717","3815.666825358073"
"26","3763.1707","3874.499","3808.0542555067273"
"27","3763.1707","3847.2961","3797.7464796278214"
"28","3757.8967","3827.005","3788.900134955512"
"29","3749.1726","3820.2996","3781.8680826822915"
"30","3749.1726","3827.795","3775.3157850477432"
"31","3737.8135","3809.847","3771.4555270724827"
"32","3727.0955","3805.459","3762.1815639919705"
"33","3720.493","3792.2637","3755.4036627875435"
"34","3706.1902","3789.557","3746.748111979167"
"35","3698.6318","3773.8171","3735.2581142849394"
"36","3693.7483","3769.8298","3723.838530137804"
"37","3693.736","3750.007","3716.381538221571"
"38","3676.3542","3756.728","3709.316744656033"
"39","3676.3542","3734.7434","3704.9106838650173"
"40","3661.733","3745.1897","3700.130399576823"
"41","3671.5928","3723.4963","3693.9685356987848"
"42","3666.2583","3726.7505","3688.4710035536023"
"43","3664.9995","3723.089","3682.784084065755"
"44","3659.5984","3708.4956","3678.155900065104"
"45","3647.0378","3702.9285","3674.150296359592"
"46","3647.0378","3702.4963","3670.9256849500866"
"47","3642.5195","3688.8062","3665.4969312879775"
"48","3639.8687","3700.901","3661.6811726888022"
"49","3637.978","3692.2917","3656.395317247179"
"50","3633.7646","3675.4448","3650.125875515408"
"51","3633.308","3683.5957","3647.449458143446"
"52","3624.8809","3671.5808","3643.149967447917"
"53","3622.2222","3669.6675","3640.5438062879775"
"54","3619.2388","3666.7979","3637.955147298177"
"55","3616.58","3659.2517","3632.7931925455728"
