"Iteracja","Best Result","Worst Result","Average Cost"
"1","3345.0747","3972.8462","3350.291852484809"
"2","3345.0747","4369.6177","3356.2891798231335"
"3","3345.0747","3780.551","3353.2016289605035"
"4","3345.0747","4342.648","3354.883884684245"
"5","3345.0747","3915.1833","3351.4230712890626"
"6","3345.0747","3929.0354","3349.2873928493923"
"7","3345.0747","3814.6091","3352.050415717231"
"8","3345.0747","4009.699","3351.769647216797"
"9","3345.0747","4175.2593","3350.755155436198"
"10","3341.043","4108.286","3354.156911892361"
