"Iteracja","Best Result","Worst Result","Average Cost"
"1","11912.863","13635.498","12809.518188476562"
"2","11668.151","12979.631","12386.945499674479"
"3","11478.503","12694.174","12043.067561848959"
"4","11206.311","12503.031","11816.112559678819"
"5","10967.484","12235.779","11517.4431640625"
"6","10798.945","11693.239","11271.065744357638"
"7","10751.092","11484.504","11048.16117078993"
"8","10602.779","11280.499","10881.085446506077"
"9","10443.945","11039.019","10746.356816948784"
"10","10382.452","10928.793","10615.633897569445"
"11","10208.819","10846.177","10522.52104763455"
"12","10005.394","10693.73","10392.432172309027"
"13","10005.394","10519.851","10269.44522298177"
"14","10005.394","10333.601","10169.409887695312"
"15","9953.541","10257.02","10102.599785698785"
"16","9887.841","10224.973","10026.239957682292"
"17","9803.099","10138.597","9973.604505750867"
"18","9777.031","10147.641","9915.275613064236"
"19","9744.931","10028.596","9862.901486545139"
"20","9678.9","9965.96","9801.972585720487"
"21","9647.662","9945.054","9758.294843207465"
"22","9583.737","9838.374","9711.657541232638"
"23","9529.568","9831.224","9668.571877712673"
"24","9444.779","9848.827","9617.881043836805"
"25","9401.328","9698.795","9563.239436848959"
"26","9315.151","9684.458","9497.778789605034"
"27","9294.798","9567.37","9424.590625"
"28","9221.819","9546.102","9368.376814778645"
"29","9198.216","9501.276","9315.596080186631"
"30","9175.926","9400.386","9262.491349283855"
"31","9095.765","9418.978","9219.551350911459"
"32","9037.159","9317.557","9169.078187391493"
"33","9002.065","9255.534","9121.453008355034"
"34","8986.996","9233.186","9082.000759548611"
"35","8952.642","9220.031","9039.53844672309"
"36","8921.515","9152.77","9003.282546657985"
"37","8852.64","9140.87","8965.130297851563"
"38","8831.571","9097.297","8927.640502929688"
"39","8752.088","9057.66","8894.74164767795"
"40","8752.088","8981.595","8854.507438151042"
"41","8706.768","8983.216","8814.134358723959"
"42","8684.7705","8959.534","8779.21437717014"
"43","8610.503","8892.697","8732.807318793402"
"44","8568.334","8871.329","8695.345396592882"
"45","8530.26","8849.7705","8647.92143825955"
"46","8436.472","8812.218","8592.339203559028"
"47","8395.7295","8721.695","8542.062483723957"
"48","8330.375","8617.618","8480.56355251736"
"49","8329.005","8661.079","8418.457698567709"
"50","8248.286","8515.509","8375.368513997395"
"51","8234.98","8495.016","8331.52392578125"
"52","8203.173","8501.985","8282.924183485244"
"53","8142.6743","8367.155","8239.970530870225"
"54","8127.357","8354.381","8208.71054280599"
"55","8084.6626","8304.915","8170.326765950521"
"56","8038.268","8253.979","8138.14011094835"
"57","8022.224","8197.01","8103.866006130643"
"58","8003.4595","8219.642","8072.672230360243"
"59","7908.104","8216.123","8041.637647840712"
"60","7896.896","8142.4497","8014.434461805556"
"61","7890.4507","8174.48","7994.403790961372"
"62","7842.397","8084.0356","7933.266739908854"
"63","7842.397","8026.4155","7899.892278374566"
"64","7809.057","8006.725","7871.249655490451"
"65","7753.358","7992.401","7848.287459309896"
"66","7739.7876","8013.5957","7822.077459038628"
"67","7739.7876","7952.93","7784.1799099392365"
"68","7694.6226","7924.6694","7753.829056803385"
"69","7666.7896","7874.809","7742.700066460504"
