"Iteracja","Best Result","Worst Result","Average Cost"
"1","4928.664","5115.528","4933.3604831271705"
"2","4928.664","5196.3735","4951.341492603443"
"3","4921.8228","5132.9844","4928.9618882921"
"4","4915.2505","5102.1143","4921.611978352865"
"5","4907.013","5087.998","4914.171330430772"
"6","4907.013","5074.421","4912.647459581163"
"7","4900.5215","5251.887","4932.504456583659"
"8","4897.9272","5309.9736","4934.137189097463"
"9","4897.9272","5132.877","4904.4731334092885"
"10","4895.0713","5084.8755","4904.545234695589"
